Fixed-point accuracy study,,,,,,,,,,,,,,,,,,,,,
Clip #,Ground truth,TensorFlow,N_STO = 2,N_STO = 3,N_STO = 4,N_STO = 5,N_STO = 6,N_STO = 7,N_STO = 8,N_STO = 9,N_STO = 10,N_STO = 11,N_STO = 12,N_STO = 13,N_STO = 14,N_STO = 15,N_STO = 16,N_STO = 17,N_STO = 18,N_STO = 19,N_STO = 20
51,2,2,.,.,.,2,2,4,3,2,2,4,4,2,2,.,.,.,.,.,.
52,2,2,.,.,.,4,4,4,3,2,2,2,2,2,4,.,.,.,.,.,.
53,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
54,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
55,2,2,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
56,2,2,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
57,2,2,.,.,.,2,4,4,2,2,4,4,4,4,4,.,.,.,.,.,.
58,2,4,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
59,2,2,.,.,.,2,2,2,4,2,2,2,2,2,2,.,.,.,.,.,.
60,2,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
61,2,2,.,.,.,4,4,4,2,2,4,4,4,4,4,.,.,.,.,.,.
62,4,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
63,2,2,.,.,.,4,3,2,2,4,2,2,4,4,4,.,.,.,.,.,.
64,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
65,4,4,.,.,.,4,4,3,4,4,4,4,4,4,4,.,.,.,.,.,.
66,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
67,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
68,2,2,.,.,.,2,4,2,4,4,4,2,4,4,4,.,.,.,.,.,.
69,4,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
70,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
71,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
72,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
73,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
74,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
75,4,4,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
76,4,3,.,.,.,4,4,2,3,4,3,4,4,4,4,.,.,.,.,.,.
77,4,4,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
78,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
79,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
80,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
81,4,4,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
82,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
83,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
84,2,2,.,.,.,4,4,4,2,2,2,2,2,4,2,.,.,.,.,.,.
85,2,2,.,.,.,4,4,4,2,4,2,2,2,2,2,.,.,.,.,.,.
86,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
87,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
88,2,2,.,.,.,4,4,4,2,2,2,2,4,4,4,.,.,.,.,.,.
89,2,2,.,.,.,4,4,2,2,2,2,2,2,4,4,.,.,.,.,.,.
90,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
91,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
92,2,2,.,.,.,4,2,4,2,2,4,4,2,4,4,.,.,.,.,.,.
93,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
94,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
95,4,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
96,2,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
97,2,3,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
98,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
99,2,2,.,.,.,2,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
100,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
101,2,2,.,.,.,4,4,4,3,2,4,4,4,4,4,.,.,.,.,.,.
102,2,2,.,.,.,4,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
103,2,3,.,.,.,4,3,4,3,4,4,4,4,4,4,.,.,.,.,.,.
104,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
105,2,2,.,.,.,4,4,4,2,2,4,2,4,4,4,.,.,.,.,.,.
106,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
107,2,2,.,.,.,2,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
108,2,2,.,.,.,4,4,2,2,4,4,4,4,4,4,.,.,.,.,.,.
109,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
110,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
111,2,2,.,.,.,4,4,4,3,3,3,3,3,2,2,.,.,.,.,.,.
112,1,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
113,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
114,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
115,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
116,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
117,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
118,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
119,2,2,.,.,.,4,2,4,2,2,2,4,4,4,4,.,.,.,.,.,.
120,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
121,2,2,.,.,.,4,4,2,2,4,2,4,4,4,4,.,.,.,.,.,.
122,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
123,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
124,2,2,.,.,.,4,3,4,3,4,4,4,4,4,4,.,.,.,.,.,.
125,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
126,2,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
127,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
128,2,2,.,.,.,2,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
129,2,2,.,.,.,4,4,2,2,4,4,4,4,4,4,.,.,.,.,.,.
130,1,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
131,1,2,.,.,.,4,4,2,2,2,2,2,2,2,2,.,.,.,.,.,.
132,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
133,2,2,.,.,.,4,2,4,2,2,4,2,2,2,2,.,.,.,.,.,.
134,2,1,.,.,.,2,2,4,4,2,4,4,4,4,4,.,.,.,.,.,.
135,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
136,1,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
137,2,2,.,.,.,4,4,4,2,4,4,4,2,2,4,.,.,.,.,.,.
138,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
139,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
140,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
141,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
142,2,2,.,.,.,2,2,4,2,2,4,4,4,4,4,.,.,.,.,.,.
143,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
144,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
145,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
146,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
147,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
148,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
149,2,2,.,.,.,2,2,2,2,2,2,2,2,4,2,.,.,.,.,.,.
150,1,1,.,.,.,2,4,4,4,2,4,4,4,4,4,.,.,.,.,.,.
151,2,1,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
152,2,1,.,.,.,2,2,4,4,2,4,2,2,2,2,.,.,.,.,.,.
153,1,1,.,.,.,4,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
154,1,1,.,.,.,4,2,4,2,2,4,4,4,4,4,.,.,.,.,.,.
155,4,2,.,.,.,2,4,4,4,2,4,4,4,4,4,.,.,.,.,.,.
156,2,2,.,.,.,4,4,4,2,2,4,2,4,4,4,.,.,.,.,.,.
157,2,2,.,.,.,4,4,4,2,2,4,2,4,4,4,.,.,.,.,.,.
158,2,2,.,.,.,4,4,4,4,2,2,2,4,4,4,.,.,.,.,.,.
159,4,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
160,2,2,.,.,.,4,4,4,3,2,4,4,4,4,4,.,.,.,.,.,.
161,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
162,2,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
163,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
164,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
165,2,2,.,.,.,4,4,2,4,4,4,4,4,2,2,.,.,.,.,.,.
166,2,2,.,.,.,4,4,4,2,4,2,4,2,2,2,.,.,.,.,.,.
167,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
168,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
169,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
170,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
171,2,2,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
172,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
173,4,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
174,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
175,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
176,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
177,2,3,.,.,.,4,4,2,4,4,4,4,4,4,4,.,.,.,.,.,.
178,2,2,.,.,.,4,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
179,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
180,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
181,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
182,2,2,.,.,.,4,4,4,2,2,4,4,4,4,4,.,.,.,.,.,.
183,2,2,.,.,.,4,4,4,2,2,4,4,4,4,4,.,.,.,.,.,.
184,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
185,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
186,2,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
187,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
188,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
189,2,2,.,.,.,2,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
190,2,2,.,.,.,4,4,4,2,2,4,2,2,4,2,.,.,.,.,.,.
191,2,2,.,.,.,2,3,3,4,3,3,3,3,3,3,.,.,.,.,.,.
192,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
193,2,2,.,.,.,4,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
194,2,2,.,.,.,4,2,4,2,4,4,2,4,4,4,.,.,.,.,.,.
195,2,2,.,.,.,2,4,2,2,4,4,2,4,4,4,.,.,.,.,.,.
196,1,1,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
197,1,1,.,.,.,2,4,4,2,2,4,4,4,4,4,.,.,.,.,.,.
198,1,1,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
199,1,1,.,.,.,2,4,4,2,4,2,4,2,2,2,.,.,.,.,.,.
200,1,1,.,.,.,4,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
201,1,1,.,.,.,2,3,4,4,2,4,4,4,4,4,.,.,.,.,.,.
202,1,1,.,.,.,2,2,2,4,2,2,2,2,2,2,.,.,.,.,.,.
203,1,1,.,.,.,4,2,4,2,2,4,2,4,4,4,.,.,.,.,.,.
204,1,1,.,.,.,2,2,2,2,2,4,4,4,4,4,.,.,.,.,.,.
205,1,2,.,.,.,2,4,2,2,2,2,2,2,2,2,.,.,.,.,.,.
206,1,1,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
207,1,1,.,.,.,2,2,4,2,2,4,2,4,4,4,.,.,.,.,.,.
208,1,1,.,.,.,2,4,2,4,2,4,4,4,4,4,.,.,.,.,.,.
209,1,2,.,.,.,2,4,4,4,2,4,2,4,4,4,.,.,.,.,.,.
210,2,1,.,.,.,4,4,2,2,4,4,4,4,4,4,.,.,.,.,.,.
211,1,1,.,.,.,2,4,4,4,2,4,2,2,4,2,.,.,.,.,.,.
212,1,1,.,.,.,2,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
213,1,1,.,.,.,2,2,2,2,2,4,2,1,1,1,.,.,.,.,.,.
214,1,1,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
215,1,1,.,.,.,4,2,2,2,2,4,2,2,2,2,.,.,.,.,.,.
216,1,1,.,.,.,2,4,2,2,2,2,4,4,2,2,.,.,.,.,.,.
217,1,1,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
218,1,1,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
219,1,1,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
220,1,1,.,.,.,2,2,1,1,2,2,2,1,1,1,.,.,.,.,.,.
221,1,1,.,.,.,2,2,2,1,2,2,2,2,2,4,.,.,.,.,.,.
222,1,1,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
223,1,1,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
224,1,1,.,.,.,2,4,4,4,4,4,2,4,4,4,.,.,.,.,.,.
225,1,1,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
226,1,1,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
227,1,1,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
228,1,1,.,.,.,2,4,2,2,2,2,2,2,2,2,.,.,.,.,.,.
229,1,1,.,.,.,2,3,4,2,2,2,2,2,2,2,.,.,.,.,.,.
230,1,1,.,.,.,4,4,2,2,2,2,2,2,4,2,.,.,.,.,.,.
231,1,1,.,.,.,2,4,2,4,4,4,4,4,4,4,.,.,.,.,.,.
232,1,1,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
233,1,1,.,.,.,2,2,2,4,4,1,2,1,1,2,.,.,.,.,.,.
234,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
235,2,2,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
236,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
237,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
238,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
239,2,2,.,.,.,4,4,2,2,4,4,4,4,4,4,.,.,.,.,.,.
240,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
241,2,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
242,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
243,2,2,.,.,.,4,2,2,2,2,2,2,2,4,4,.,.,.,.,.,.
244,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
245,2,2,.,.,.,4,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
246,2,3,.,.,.,4,3,3,3,3,3,2,4,4,4,.,.,.,.,.,.
247,3,3,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
248,3,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
249,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
250,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
251,3,3,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
252,3,3,.,.,.,4,3,4,3,4,4,4,4,4,4,.,.,.,.,.,.
253,3,3,.,.,.,4,3,4,4,4,4,4,4,4,4,.,.,.,.,.,.
254,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
255,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
256,3,3,.,.,.,4,3,4,4,4,4,4,4,4,4,.,.,.,.,.,.
257,3,3,.,.,.,4,3,4,4,4,4,4,4,4,4,.,.,.,.,.,.
258,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
259,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
260,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
261,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
262,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
263,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
264,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
265,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
266,3,3,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
267,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
268,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
269,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
270,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
271,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
272,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
273,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
274,3,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
275,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
276,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
277,3,3,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
278,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
279,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
280,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
281,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
282,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
283,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
284,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
285,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
286,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
287,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
288,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
289,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
290,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
291,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
292,3,3,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
293,3,3,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
294,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
295,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
296,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
297,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
298,3,3,.,.,.,4,3,4,4,4,4,4,4,4,4,.,.,.,.,.,.
299,3,3,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
300,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
301,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
302,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
303,2,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
304,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
305,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
306,3,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
307,4,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
