Fixed-point accuracy study,,,,,,,,,,,,,,,,,,,,,
Clip #,Ground truth,TensorFlow,N_STO = 2,N_STO = 3,N_STO = 4,N_STO = 5,N_STO = 6,N_STO = 7,N_STO = 8,N_STO = 9,N_STO = 10,N_STO = 11,N_STO = 12,N_STO = 13,N_STO = 14,N_STO = 15,N_STO = 16,N_STO = 17,N_STO = 18,N_STO = 19,N_STO = 20
54,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
55,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
56,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
57,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
58,2,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
59,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
60,2,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
61,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
62,4,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
63,2,2,.,.,.,3,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
64,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
65,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
66,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
67,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
68,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
69,4,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
70,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
71,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
72,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
73,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
74,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
75,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
76,4,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
77,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
78,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
79,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
80,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
81,4,4,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
82,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
83,2,2,.,.,.,4,4,2,2,4,2,4,4,4,2,.,.,.,.,.,.
84,2,2,.,.,.,3,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
85,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
86,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
87,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
88,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
89,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
90,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
91,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
92,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
93,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
94,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
95,4,2,.,.,.,4,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
96,2,3,.,.,.,2,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
97,2,3,.,.,.,2,2,3,2,3,3,3,3,3,3,.,.,.,.,.,.
98,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
99,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
100,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
101,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
102,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
103,2,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
104,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
105,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
106,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
107,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
108,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
109,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
110,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
111,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
112,1,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
113,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
114,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
115,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
116,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
117,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
118,2,2,.,.,.,2,2,1,1,2,2,2,2,2,2,.,.,.,.,.,.
119,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
120,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
121,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
122,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
123,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
124,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
125,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
126,2,3,.,.,.,3,2,2,3,3,2,3,3,3,3,.,.,.,.,.,.
127,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
128,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
129,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
130,1,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
131,1,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
132,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
133,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
134,2,1,.,.,.,2,2,1,1,1,1,1,1,1,1,.,.,.,.,.,.
135,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
136,1,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
137,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
138,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
139,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
140,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
141,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
142,2,2,.,.,.,2,2,1,2,2,2,2,2,2,2,.,.,.,.,.,.
143,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
144,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
145,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
146,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
147,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
148,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
149,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
150,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
151,2,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
152,2,1,.,.,.,2,2,1,1,1,1,1,1,1,1,.,.,.,.,.,.
153,1,1,.,.,.,2,2,1,1,2,1,1,1,1,1,.,.,.,.,.,.
154,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
155,4,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
156,2,2,.,.,.,3,2,2,3,2,2,2,2,2,2,.,.,.,.,.,.
157,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
158,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
159,4,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
160,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
161,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
162,2,4,.,.,.,3,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
163,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
164,2,2,.,.,.,3,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
165,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
166,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
167,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
168,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
169,2,2,.,.,.,3,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
170,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
171,2,2,.,.,.,3,3,2,2,3,2,2,2,2,2,.,.,.,.,.,.
172,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
173,4,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
174,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
175,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
176,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
177,2,3,.,.,.,2,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
178,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
179,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
180,2,2,.,.,.,3,2,2,2,3,3,3,2,3,2,.,.,.,.,.,.
181,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
182,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
183,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
184,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
185,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
186,2,3,.,.,.,2,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
187,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
188,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
189,2,2,.,.,.,2,2,1,1,2,2,2,2,2,2,.,.,.,.,.,.
190,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
191,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
192,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
193,2,2,.,.,.,2,2,1,2,2,2,2,2,2,2,.,.,.,.,.,.
194,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
195,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
196,1,1,.,.,.,2,2,1,1,1,1,1,1,1,1,.,.,.,.,.,.
197,1,1,.,.,.,2,2,1,1,1,1,1,1,1,1,.,.,.,.,.,.
198,1,1,.,.,.,2,2,1,1,1,1,1,1,1,1,.,.,.,.,.,.
199,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
200,1,1,.,.,.,2,2,1,1,1,1,1,1,1,1,.,.,.,.,.,.
201,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
202,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
203,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
204,1,1,.,.,.,2,2,1,1,1,1,1,1,1,1,.,.,.,.,.,.
205,1,2,.,.,.,2,2,1,2,2,2,2,2,2,2,.,.,.,.,.,.
206,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
207,1,1,.,.,.,2,2,1,1,1,1,1,1,1,1,.,.,.,.,.,.
208,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
209,1,2,.,.,.,2,2,1,1,2,2,1,1,1,1,.,.,.,.,.,.
210,2,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
211,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
212,1,1,.,.,.,2,2,1,1,1,1,1,1,1,1,.,.,.,.,.,.
213,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
214,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
215,1,1,.,.,.,2,2,1,1,1,1,1,1,1,1,.,.,.,.,.,.
216,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
217,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
218,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
219,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
220,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
221,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
222,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
223,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
224,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
225,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
226,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
227,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
228,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
229,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
230,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
231,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
232,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
233,1,1,.,.,.,2,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.
234,2,2,.,.,.,2,2,1,1,2,2,2,2,2,2,.,.,.,.,.,.
235,2,2,.,.,.,2,4,2,2,2,2,2,2,2,2,.,.,.,.,.,.
236,2,2,.,.,.,3,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
237,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
238,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
239,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
240,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
241,2,3,.,.,.,2,3,2,3,3,3,3,3,3,3,.,.,.,.,.,.
242,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
243,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
244,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
245,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
246,2,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
247,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
248,3,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
249,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
250,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
251,3,3,.,.,.,2,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
252,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
253,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
254,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
255,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
256,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
257,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
258,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
259,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
260,3,3,.,.,.,2,3,2,3,3,3,3,3,3,3,.,.,.,.,.,.
261,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
262,3,3,.,.,.,2,3,2,3,3,3,3,3,3,3,.,.,.,.,.,.
263,3,3,.,.,.,2,3,2,3,3,3,3,3,2,2,.,.,.,.,.,.
264,3,3,.,.,.,3,2,3,3,3,3,3,3,3,3,.,.,.,.,.,.
265,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
266,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
267,3,3,.,.,.,2,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
268,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
269,3,3,.,.,.,4,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
270,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
271,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
272,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
273,3,3,.,.,.,4,3,2,3,3,3,3,3,3,3,.,.,.,.,.,.
274,3,2,.,.,.,4,4,2,2,2,2,2,2,2,2,.,.,.,.,.,.
275,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
276,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
277,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
278,3,3,.,.,.,4,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
279,3,3,.,.,.,3,2,2,3,3,3,3,3,3,3,.,.,.,.,.,.
280,3,3,.,.,.,2,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
281,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
282,3,3,.,.,.,3,2,2,3,2,3,3,3,3,3,.,.,.,.,.,.
283,3,3,.,.,.,4,2,2,3,3,3,2,2,3,2,.,.,.,.,.,.
284,3,3,.,.,.,4,3,2,3,3,3,3,3,3,3,.,.,.,.,.,.
285,3,3,.,.,.,2,4,2,2,3,3,3,3,3,3,.,.,.,.,.,.
286,3,3,.,.,.,2,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
287,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
288,3,3,.,.,.,2,3,2,3,3,3,3,3,3,3,.,.,.,.,.,.
289,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
290,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
291,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
292,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
293,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
294,3,3,.,.,.,2,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
295,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
296,3,3,.,.,.,2,2,2,3,3,3,3,3,3,3,.,.,.,.,.,.
297,3,3,.,.,.,2,2,2,3,3,3,3,3,3,3,.,.,.,.,.,.
298,3,3,.,.,.,4,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
299,3,3,.,.,.,2,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
300,3,3,.,.,.,2,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
301,3,3,.,.,.,2,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
302,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
303,2,3,.,.,.,3,3,2,3,3,3,3,3,3,3,.,.,.,.,.,.
304,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
305,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
306,3,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
307,4,2,.,.,.,4,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
