Fixed-point accuracy study,,,,,,,,,,,,,,,,,,,,,
Clip #,Ground truth,TensorFlow,N_STO = 2,N_STO = 3,N_STO = 4,N_STO = 5,N_STO = 6,N_STO = 7,N_STO = 8,N_STO = 9,N_STO = 10,N_STO = 11,N_STO = 12,N_STO = 13,N_STO = 14,N_STO = 15,N_STO = 16,N_STO = 17,N_STO = 18,N_STO = 19,N_STO = 20
20,2,3,.,.,.,2,2,4,2,2,4,4,4,4,4,.,.,.,.,.,.
21,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
22,4,2,.,.,.,2,4,4,2,2,3,4,4,4,4,.,.,.,.,.,.
23,4,2,.,.,.,2,4,4,2,2,4,4,4,4,4,.,.,.,.,.,.
24,2,3,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
25,2,2,.,.,.,2,2,4,2,2,4,2,2,2,2,.,.,.,.,.,.
26,2,2,.,.,.,2,2,4,2,2,2,2,2,2,4,.,.,.,.,.,.
27,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
28,2,2,.,.,.,2,2,4,4,2,2,4,3,4,4,.,.,.,.,.,.
29,2,2,.,.,.,2,2,4,2,2,2,3,2,2,3,.,.,.,.,.,.
30,2,2,.,.,.,2,4,4,4,4,4,2,2,2,2,.,.,.,.,.,.
31,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
32,2,2,.,.,.,2,2,4,2,2,4,4,4,4,4,.,.,.,.,.,.
33,2,2,.,.,.,2,2,4,4,4,4,4,2,2,4,.,.,.,.,.,.
34,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
35,2,2,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
36,2,2,.,.,.,2,2,4,4,2,2,4,2,2,2,.,.,.,.,.,.
37,2,2,.,.,.,2,2,4,4,2,4,4,2,2,2,.,.,.,.,.,.
38,2,2,.,.,.,2,2,4,4,4,4,2,2,2,2,.,.,.,.,.,.
39,4,4,.,.,.,2,2,4,4,2,4,4,4,4,2,.,.,.,.,.,.
40,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
41,2,2,.,.,.,2,4,4,4,2,2,2,2,2,2,.,.,.,.,.,.
42,2,2,.,.,.,2,2,4,2,2,4,4,2,2,4,.,.,.,.,.,.
43,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
44,2,2,.,.,.,2,2,4,4,4,2,2,2,2,2,.,.,.,.,.,.
45,2,2,.,.,.,2,2,4,4,2,2,2,3,2,2,.,.,.,.,.,.
46,2,2,.,.,.,2,2,4,4,2,2,4,2,2,2,.,.,.,.,.,.
47,2,2,.,.,.,2,4,4,3,3,2,3,2,2,2,.,.,.,.,.,.
48,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
49,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
50,2,2,.,.,.,2,2,4,4,2,4,4,4,4,4,.,.,.,.,.,.
51,2,2,.,.,.,2,2,4,4,2,2,2,4,2,2,.,.,.,.,.,.
52,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
53,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
54,2,2,.,.,.,2,4,4,4,3,2,2,2,2,2,.,.,.,.,.,.
55,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
56,2,2,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
57,2,2,.,.,.,2,4,4,4,4,4,4,4,4,2,.,.,.,.,.,.
58,2,4,.,.,.,2,2,4,4,2,2,4,4,4,4,.,.,.,.,.,.
59,2,2,.,.,.,2,2,4,2,4,2,2,2,4,4,.,.,.,.,.,.
60,2,3,.,.,.,2,4,4,4,2,2,2,2,2,2,.,.,.,.,.,.
61,2,2,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
62,4,2,.,.,.,2,2,4,3,4,2,4,4,4,4,.,.,.,.,.,.
63,2,2,.,.,.,2,2,4,2,2,4,4,4,4,4,.,.,.,.,.,.
64,4,4,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
65,4,4,.,.,.,2,4,4,4,2,4,4,4,4,2,.,.,.,.,.,.
66,2,2,.,.,.,2,4,4,3,3,3,2,2,3,2,.,.,.,.,.,.
67,2,2,.,.,.,2,4,4,4,2,2,2,2,4,4,.,.,.,.,.,.
68,2,2,.,.,.,2,4,4,4,4,2,2,2,2,2,.,.,.,.,.,.
69,4,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
70,4,4,.,.,.,2,2,4,4,2,2,4,4,4,4,.,.,.,.,.,.
71,4,4,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
72,4,4,.,.,.,2,2,4,2,4,4,4,2,4,4,.,.,.,.,.,.
73,4,4,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
74,4,4,.,.,.,2,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
75,4,4,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
76,4,3,.,.,.,2,4,4,4,2,2,2,2,2,2,.,.,.,.,.,.
77,4,4,.,.,.,2,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
78,4,4,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
79,4,4,.,.,.,2,2,2,2,2,2,4,4,4,4,.,.,.,.,.,.
80,4,4,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
81,4,4,.,.,.,2,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
82,4,4,.,.,.,2,4,4,2,2,4,4,4,4,4,.,.,.,.,.,.
83,2,2,.,.,.,2,4,4,4,3,4,4,4,4,4,.,.,.,.,.,.
84,2,2,.,.,.,2,2,4,4,4,4,2,2,4,4,.,.,.,.,.,.
85,2,2,.,.,.,2,2,4,4,2,2,4,4,4,4,.,.,.,.,.,.
86,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
87,2,2,.,.,.,2,2,4,2,2,2,4,4,4,4,.,.,.,.,.,.
88,2,2,.,.,.,2,2,4,4,4,4,2,2,2,2,.,.,.,.,.,.
89,2,2,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
90,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
91,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
92,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
93,2,2,.,.,.,2,2,4,2,2,4,4,4,4,4,.,.,.,.,.,.
94,2,2,.,.,.,2,4,4,2,2,2,4,4,2,4,.,.,.,.,.,.
95,4,2,.,.,.,2,2,4,4,4,2,2,2,2,2,.,.,.,.,.,.
96,2,3,.,.,.,2,2,4,4,2,2,4,4,4,4,.,.,.,.,.,.
97,2,3,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
98,2,2,.,.,.,2,2,4,2,2,2,2,2,4,2,.,.,.,.,.,.
99,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
100,2,2,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
101,2,2,.,.,.,2,2,4,4,2,4,2,2,2,2,.,.,.,.,.,.
102,2,2,.,.,.,2,2,4,2,2,3,2,2,2,2,.,.,.,.,.,.
103,2,3,.,.,.,2,4,4,2,2,2,4,2,2,2,.,.,.,.,.,.
104,2,2,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
105,2,2,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
106,2,2,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
107,2,2,.,.,.,2,4,4,4,2,2,4,3,2,3,.,.,.,.,.,.
108,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
109,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
110,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
111,2,2,.,.,.,2,4,4,4,4,4,4,2,2,2,.,.,.,.,.,.
112,1,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
113,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
114,2,2,.,.,.,2,4,4,4,2,2,2,4,2,2,.,.,.,.,.,.
115,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
116,2,2,.,.,.,2,4,4,4,4,4,2,2,2,2,.,.,.,.,.,.
117,2,2,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
118,2,2,.,.,.,2,2,4,4,2,2,4,4,4,4,.,.,.,.,.,.
119,2,2,.,.,.,2,2,4,4,4,2,2,2,2,2,.,.,.,.,.,.
120,2,2,.,.,.,2,4,4,2,3,3,4,4,4,4,.,.,.,.,.,.
121,2,2,.,.,.,2,4,4,4,3,2,4,4,4,4,.,.,.,.,.,.
122,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
123,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
124,2,2,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
125,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
126,2,3,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
127,2,2,.,.,.,2,2,4,4,4,4,2,2,2,2,.,.,.,.,.,.
128,2,2,.,.,.,2,4,4,4,2,2,2,2,2,4,.,.,.,.,.,.
129,2,2,.,.,.,2,2,4,4,4,4,2,2,2,2,.,.,.,.,.,.
130,1,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
131,1,2,.,.,.,2,2,4,4,2,2,3,3,3,3,.,.,.,.,.,.
132,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
133,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
134,2,1,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
135,2,2,.,.,.,2,2,4,4,4,2,2,2,2,2,.,.,.,.,.,.
136,1,2,.,.,.,2,4,4,4,2,2,2,2,2,2,.,.,.,.,.,.
137,2,2,.,.,.,2,2,4,4,4,2,4,4,4,2,.,.,.,.,.,.
138,2,2,.,.,.,2,2,4,4,2,4,4,2,4,4,.,.,.,.,.,.
139,2,2,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
140,2,2,.,.,.,2,2,4,4,4,4,2,2,2,2,.,.,.,.,.,.
141,2,2,.,.,.,2,2,4,2,2,2,4,4,4,2,.,.,.,.,.,.
142,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
143,2,2,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
144,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
145,2,2,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
146,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
147,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
148,2,2,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
149,2,2,.,.,.,2,4,4,4,2,4,2,4,4,4,.,.,.,.,.,.
150,1,1,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
151,2,1,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
152,2,1,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
153,1,1,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
154,1,1,.,.,.,2,2,4,4,2,2,4,2,2,2,.,.,.,.,.,.
155,4,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
156,2,2,.,.,.,2,2,4,2,2,4,2,4,4,4,.,.,.,.,.,.
157,2,2,.,.,.,2,2,4,4,2,4,4,2,4,4,.,.,.,.,.,.
158,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
159,4,2,.,.,.,2,4,4,3,2,2,2,2,2,2,.,.,.,.,.,.
160,2,2,.,.,.,2,2,4,2,2,2,4,4,4,4,.,.,.,.,.,.
161,4,4,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
162,2,4,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
163,2,2,.,.,.,2,4,4,4,4,2,2,4,4,4,.,.,.,.,.,.
164,2,2,.,.,.,2,4,4,4,2,4,4,4,4,4,.,.,.,.,.,.
165,2,2,.,.,.,2,2,4,4,4,4,4,4,4,2,.,.,.,.,.,.
166,2,2,.,.,.,2,2,4,2,2,2,2,2,4,4,.,.,.,.,.,.
167,2,2,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
168,2,2,.,.,.,2,2,4,2,2,2,4,4,4,2,.,.,.,.,.,.
169,2,2,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
170,2,2,.,.,.,2,4,4,4,2,4,2,3,3,2,.,.,.,.,.,.
171,2,2,.,.,.,2,2,4,2,2,4,4,4,4,4,.,.,.,.,.,.
172,2,2,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
173,4,2,.,.,.,2,4,4,2,2,2,2,2,4,4,.,.,.,.,.,.
174,4,4,.,.,.,2,2,4,2,2,2,2,2,2,4,.,.,.,.,.,.
175,4,4,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
176,4,4,.,.,.,2,2,4,3,4,4,4,4,4,4,.,.,.,.,.,.
177,2,3,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
178,2,2,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
179,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
180,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
181,2,2,.,.,.,2,2,4,4,2,4,4,4,4,4,.,.,.,.,.,.
182,2,2,.,.,.,2,2,4,2,2,2,2,4,2,2,.,.,.,.,.,.
183,2,2,.,.,.,2,2,4,2,2,2,2,4,4,4,.,.,.,.,.,.
184,2,2,.,.,.,2,2,4,4,4,2,2,2,2,2,.,.,.,.,.,.
185,2,2,.,.,.,2,4,4,4,3,2,2,2,2,2,.,.,.,.,.,.
186,2,3,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
187,2,2,.,.,.,2,4,4,4,3,2,2,2,3,2,.,.,.,.,.,.
188,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
189,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
190,2,2,.,.,.,2,2,4,4,4,4,4,4,4,2,.,.,.,.,.,.
191,2,2,.,.,.,2,4,4,4,4,2,4,4,4,4,.,.,.,.,.,.
192,2,2,.,.,.,2,2,4,3,2,2,2,2,2,2,.,.,.,.,.,.
193,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
194,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
195,2,2,.,.,.,2,2,4,2,2,2,4,4,4,2,.,.,.,.,.,.
196,1,1,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
197,1,1,.,.,.,2,2,4,4,4,2,2,2,2,2,.,.,.,.,.,.
198,1,1,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
199,1,1,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
200,1,1,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
201,1,1,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
202,1,1,.,.,.,2,2,2,2,4,4,2,2,2,2,.,.,.,.,.,.
203,1,1,.,.,.,2,2,4,4,4,2,2,2,2,2,.,.,.,.,.,.
204,1,1,.,.,.,2,2,4,4,4,4,4,4,2,2,.,.,.,.,.,.
205,1,2,.,.,.,2,2,4,4,2,2,3,3,3,2,.,.,.,.,.,.
206,1,1,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
207,1,1,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
208,1,1,.,.,.,2,2,4,4,4,4,4,4,4,2,.,.,.,.,.,.
209,1,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
210,2,1,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
211,1,1,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
212,1,1,.,.,.,2,4,2,2,2,2,4,2,2,2,.,.,.,.,.,.
213,1,1,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
214,1,1,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
215,1,1,.,.,.,2,2,4,2,2,4,2,4,2,2,.,.,.,.,.,.
216,1,1,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
217,1,1,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
218,1,1,.,.,.,2,4,4,2,3,2,2,2,2,4,.,.,.,.,.,.
219,1,1,.,.,.,2,2,4,4,2,4,4,2,4,2,.,.,.,.,.,.
220,1,1,.,.,.,2,2,2,4,2,4,4,4,4,4,.,.,.,.,.,.
221,1,1,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
222,1,1,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
223,1,1,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
224,1,1,.,.,.,2,2,4,4,2,4,2,2,2,2,.,.,.,.,.,.
225,1,1,.,.,.,2,4,4,2,2,2,4,2,2,2,.,.,.,.,.,.
226,1,1,.,.,.,2,4,4,4,2,2,2,2,2,2,.,.,.,.,.,.
227,1,1,.,.,.,2,4,4,4,4,4,2,2,2,4,.,.,.,.,.,.
228,1,1,.,.,.,2,2,4,4,4,4,2,2,2,2,.,.,.,.,.,.
229,1,1,.,.,.,2,2,4,4,2,4,2,2,4,2,.,.,.,.,.,.
230,1,1,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
231,1,1,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
232,1,1,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
233,1,1,.,.,.,2,2,4,4,2,2,2,4,4,4,.,.,.,.,.,.
234,2,2,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
235,2,2,.,.,.,2,4,4,4,4,4,2,2,4,2,.,.,.,.,.,.
236,2,2,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
237,2,2,.,.,.,2,4,4,4,2,2,2,2,2,2,.,.,.,.,.,.
238,2,2,.,.,.,2,2,4,4,4,4,4,3,3,2,.,.,.,.,.,.
239,2,2,.,.,.,2,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
240,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
241,2,3,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
242,2,2,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
243,2,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
244,2,2,.,.,.,2,2,4,4,4,2,2,2,4,4,.,.,.,.,.,.
245,2,2,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
246,2,3,.,.,.,2,2,4,4,4,4,4,2,2,2,.,.,.,.,.,.
247,3,3,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
248,3,2,.,.,.,2,4,4,4,3,3,3,3,2,2,.,.,.,.,.,.
249,3,3,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
250,3,3,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
251,3,3,.,.,.,2,4,4,2,2,2,4,4,4,4,.,.,.,.,.,.
252,3,3,.,.,.,2,4,4,4,4,2,2,4,4,4,.,.,.,.,.,.
253,3,3,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
254,3,3,.,.,.,2,2,4,4,4,2,2,2,2,2,.,.,.,.,.,.
255,3,3,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
256,3,3,.,.,.,2,2,4,2,2,4,4,4,4,2,.,.,.,.,.,.
257,3,3,.,.,.,2,2,4,3,2,2,2,4,2,2,.,.,.,.,.,.
258,3,3,.,.,.,2,2,4,2,2,4,4,4,4,4,.,.,.,.,.,.
259,3,3,.,.,.,2,2,4,4,2,2,4,4,4,2,.,.,.,.,.,.
260,3,3,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
261,3,3,.,.,.,2,4,4,4,2,3,4,4,4,4,.,.,.,.,.,.
262,3,3,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
263,3,3,.,.,.,2,4,4,4,2,4,4,4,4,4,.,.,.,.,.,.
264,3,3,.,.,.,2,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
265,3,3,.,.,.,2,4,4,4,2,4,4,4,4,4,.,.,.,.,.,.
266,3,3,.,.,.,2,2,4,2,2,3,2,3,2,2,.,.,.,.,.,.
267,3,3,.,.,.,2,2,4,4,4,2,2,2,2,2,.,.,.,.,.,.
268,3,3,.,.,.,2,4,4,4,2,4,2,2,2,2,.,.,.,.,.,.
269,3,3,.,.,.,2,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
270,3,3,.,.,.,2,2,4,4,4,2,2,2,2,2,.,.,.,.,.,.
271,3,3,.,.,.,2,2,4,4,2,4,4,4,4,4,.,.,.,.,.,.
272,3,3,.,.,.,2,2,4,4,2,4,4,4,4,4,.,.,.,.,.,.
273,3,3,.,.,.,2,4,4,2,4,4,2,4,2,4,.,.,.,.,.,.
274,3,2,.,.,.,2,2,4,2,4,4,2,4,4,4,.,.,.,.,.,.
275,3,3,.,.,.,2,2,4,2,2,2,2,2,4,2,.,.,.,.,.,.
276,3,3,.,.,.,2,2,2,2,2,2,2,4,2,2,.,.,.,.,.,.
277,3,3,.,.,.,2,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
278,3,3,.,.,.,2,2,2,4,2,4,4,4,4,4,.,.,.,.,.,.
279,3,3,.,.,.,2,4,4,4,2,4,4,4,4,4,.,.,.,.,.,.
280,3,3,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
281,3,3,.,.,.,2,2,4,2,4,2,4,4,4,4,.,.,.,.,.,.
282,3,3,.,.,.,2,2,4,4,4,2,4,4,4,4,.,.,.,.,.,.
283,3,3,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
284,3,3,.,.,.,2,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
285,3,3,.,.,.,2,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
286,3,3,.,.,.,2,4,4,3,2,2,4,4,4,4,.,.,.,.,.,.
287,3,3,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
288,3,3,.,.,.,2,2,4,4,4,4,2,2,2,2,.,.,.,.,.,.
289,3,3,.,.,.,2,4,4,4,3,2,3,2,2,2,.,.,.,.,.,.
290,3,3,.,.,.,2,2,4,4,2,4,4,4,4,4,.,.,.,.,.,.
291,3,3,.,.,.,2,2,4,4,4,2,4,4,4,4,.,.,.,.,.,.
292,3,3,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
293,3,3,.,.,.,2,2,4,4,2,2,2,4,4,4,.,.,.,.,.,.
294,3,3,.,.,.,2,4,4,2,3,4,4,4,4,4,.,.,.,.,.,.
295,3,3,.,.,.,2,2,4,4,4,2,2,2,2,2,.,.,.,.,.,.
296,3,3,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
297,3,3,.,.,.,2,2,4,4,4,4,4,2,4,4,.,.,.,.,.,.
298,3,3,.,.,.,2,4,4,2,2,4,4,4,4,4,.,.,.,.,.,.
299,3,3,.,.,.,2,2,4,2,2,4,4,4,4,2,.,.,.,.,.,.
300,3,3,.,.,.,2,4,4,4,2,2,4,4,4,4,.,.,.,.,.,.
301,3,3,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
302,3,3,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
303,2,3,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
304,3,3,.,.,.,2,4,4,4,2,2,4,4,4,4,.,.,.,.,.,.
305,3,3,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
306,3,3,.,.,.,2,4,4,3,2,3,3,2,4,4,.,.,.,.,.,.
307,4,2,.,.,.,2,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
